Stimulus,ElapsedTime,count,Block,LoadLevel,date,frameRate,expName,session,participant,
Instructions,36.0075070858,,,,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
M,42.022395134,1,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
M,44.02267313,2,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
H,46.0230751038,3,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
H,48.0232479572,4,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Z,50.0235619545,5,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
E,52.023859024,6,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
R,54.0240380764,7,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
N,56.0245540142,8,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
N,58.0246829987,9,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
W,60.0249531269,10,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
W,62.0252609253,11,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
F,64.0255270004,12,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
D,66.0259211063,13,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
L,68.0260820389,14,1,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Instructions,98.0004069805,,,,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Y,104.01433897,1,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Y,106.014688015,2,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Y,108.015263081,3,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
F,110.015172005,4,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
T,112.015460014,5,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
T,114.015809059,6,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
K,116.01602602,7,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
R,118.016628027,8,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
M,120.016663074,9,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
H,122.016972065,10,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
T,124.017110109,11,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
T,126.017455101,12,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
N,128.017907143,13,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
G,130.017987967,14,2,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Instructions,160.000409126,,,,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
E,166.023045063,1,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
E,168.023318052,2,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
D,170.023787975,3,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
X,172.023921967,4,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
F,174.024213076,5,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
F,176.024465084,6,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
F,178.024670124,7,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
F,180.02530694,8,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
H,182.02529192,9,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
W,184.025638103,10,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
N,186.009258032,11,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
T,188.009222984,12,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
G,190.009623051,13,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
B,192.009771109,14,3,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
Instructions,222.00040102,,,,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
E,228.015172005,1,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
E,230.015427113,2,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
L,232.01593709,3,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
K,234.015919924,4,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
D,236.016199112,5,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
D,238.01652813,6,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
J,240.016784906,7,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
B,242.017350912,8,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
C,244.017332077,9,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
V,246.017591,10,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
V,248.017915964,11,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
V,250.018219948,12,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
G,252.018618107,13,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
T,254.018826962,14,4,1,2014_Oct_06_1019,60.0038340157,NBack,001,Jason,
