NTrials, Load 1, Load 2, Load 3, Load 4, Load 5, Load 6, Load 7, Load 8, Load 9 
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2,0.000,0.000,0.000,0.405,0.005,0.005,0.000,0.000,0.000,
3,0.210,0.083,0.193,0.493,0.310,0.293,0.223,0.030,0.273,
4,0.305,0.235,0.265,0.590,0.425,0.427,0.300,0.217,0.380,
5,0.398,0.344,0.390,0.618,0.486,0.482,0.394,0.312,0.430,
6,0.485,0.403,0.468,0.667,0.525,0.517,0.462,0.347,0.480,
7,0.530,0.431,0.500,0.710,0.573,0.567,0.509,0.411,0.554,
8,0.566,0.484,0.535,0.745,0.615,0.613,0.541,0.460,0.593,
9,0.586,0.520,0.557,0.772,0.649,0.651,0.572,0.501,0.626,
10,0.611,0.542,0.589,0.790,0.664,0.665,0.588,0.505,0.643,
11,0.632,0.574,0.611,0.805,0.685,0.686,0.617,0.534,0.663,
12,0.646,0.588,0.626,0.825,0.710,0.709,0.645,0.558,0.668,
13,0.661,0.605,0.645,0.827,0.715,0.715,0.662,0.576,0.692,
14,0.679,0.623,0.654,0.837,0.726,0.726,0.671,0.598,0.699,
15,0.693,0.628,0.671,0.838,0.739,0.737,0.685,0.604,0.720,
16,0.703,0.650,0.677,0.850,0.746,0.745,0.694,0.616,0.726,
17,0.711,0.661,0.685,0.854,0.758,0.752,0.700,0.634,0.733,
18,0.722,0.661,0.703,0.861,0.767,0.765,0.711,0.642,0.744,
19,0.732,0.677,0.716,0.871,0.773,0.776,0.725,0.648,0.751,
20,0.735,0.690,0.721,0.870,0.779,0.781,0.732,0.664,0.756,
